,id,speaker,text,topic,token,polarity,subjectivity,certainty
174,20,DONALD TRUMP,Nobody's ever seen anything like it,economy,"['nobody', 'be', 'ever', 'see', 'anything']",0.0,0.0,0.75
175,20,DONALD TRUMP,We made ventilators for the entire world,economy,"['make', 'ventilator', 'the', 'entire', 'world']",0.0,0.625,1.0
176,20,DONALD TRUMP,We got gowns,economy,"['get', 'gown']",0.0,0.0,1.0
177,20,DONALD TRUMP,We got masks,economy,"['get', 'mask']",0.0,0.0,1.0
178,20,DONALD TRUMP,We did things that nobody thought possible,economy,"['do', 'thing', 'nobody', 'think', 'possible']",0.0,1.0,0.3333333333333333
179,20,DONALD TRUMP,And people give me credit for rebuilding the military,economy,"['person', 'give', 'credit', 'rebuild', 'the', 'military']",-0.1,0.1,1.0
180,20,DONALD TRUMP,They give me credit for a lot of things,economy,"['give', 'credit', 'a', 'lot', 'thing']",0.0,0.0,1.0
181,20,DONALD TRUMP,But not enough credit for the great job we did with the pandemic,economy,"['not', 'enough', 'credit', 'the', 'great', 'job', 'do', 'the', 'anaemic']",0.4,0.625,1.0
182,20,DONALD TRUMP,But the only jobs they got were bounce-back jobs,economy,"['the', 'only', 'job', 'get', 'be', 'bounce-back', 'job']",0.0,1.0,1.0
183,20,DONALD TRUMP,"These were jobs, bounce back",economy,"['these', 'be', 'job', 'bounce', 'back']",0.0,0.0,1.0
184,20,DONALD TRUMP,And it bounced back and it went to their benefit,economy,"['bounce', 'back', 'go', 'benefit']",0.0,0.0,1.0
185,20,DONALD TRUMP,But I was the one that created them,economy,"['be', 'the', 'one', 'that', 'create']",0.0,0.0,0.75
186,20,DONALD TRUMP,They know it and so does everybody else.,economy,"['know', 'so', 'do', 'everybody', 'else']",0.0,0.0,0.75
187,22,KAMALA HARRIS,"And when you look at his economic plan, it's all about tax breaks for the richest people",economy,"['look', 'economic', 'plan', 'be', 'all', 'tax', 'break', 'the', 'richest', 'person']",0.2,0.2,0.75
188,22,KAMALA HARRIS,"I am offering what I describe as an opportunity economy, and the best economists in our country, if not the world, have reviewed our relative plans for the future of America",economy,"['be', 'offer', 'what', 'describe', 'an', 'opportunity', 'economy', 'the', 'best', 'economist', 'country', 'not', 'the', 'world', 'have', 'review', 'relative', 'plan', 'the', 'future', 'america']",0.3333333333333333,0.14166666666666666,1.0
189,22,KAMALA HARRIS,What Goldman Sachs has said is that Donald Trump's plan would make the economy worse,economy,"['what', 'golden', 'sacks', 'have', 'say', 'be', 'donald', 'tramp', 'is', 'plan', 'would', 'make', 'the', 'economy', 'worse']",-0.05000000000000002,0.55,-0.5
190,22,KAMALA HARRIS,Mine would strengthen the economy,economy,"['mine', 'would', 'strengthen', 'the', 'economy']",0.0,0.0,-0.5
191,22,KAMALA HARRIS,What the Wharton School has said is Donald Trump's plan would actually explode the deficit,economy,"['what', 'the', 'wanton', 'school', 'have', 'say', 'be', 'donald', 'tramp', 'is', 'plan', 'would', 'actually', 'explode', 'the', 'deficit']",0.0,0.1,-0.5
192,22,KAMALA HARRIS,Sixteen Nobel laureates have described his economic plan as something that would increase inflation and by the middle of next year would invite a recession,economy,"['sixteen', 'noble', 'laureate', 'have', 'describe', 'economic', 'plan', 'something', 'that', 'would', 'increase', 'inflation', 'the', 'middle', 'next', 'year', 'would', 'invite', 'a', 'recession']",0.2,0.275,-0.3611111111111111
193,22,KAMALA HARRIS,You just have to look at where we are and where we stand on the issues,economy,"['just', 'have', 'look', 'be', 'stand', 'the', 'issue']",0.0,0.0,0.75
194,22,KAMALA HARRIS,"And I'd invite you to know that Donald Trump actually has no plan for you, because he is more interested in defending himself than he is in looking out for you.",economy,"['will', 'invite', 'know', 'that', 'donald', 'tramp', 'actually', 'have', 'no', 'plan', 'be', 'more', 'interested', 'defend', 'be', 'look']",0.25,0.3666666666666667,0.75
195,23,DONALD TRUMP,They gave her that to say,economy,"['give', 'say']",0.0,0.0,0.25
196,23,DONALD TRUMP,"Look, I went to the Wharton School of Finance and many of those professors, the top professors, think my plan is a brilliant plan, it's a great plan",economy,"['look', 'go', 'the', 'wanton', 'school', 'finance', 'many', 'those', 'professor', 'the', 'top', 'professor', 'think', 'plan', 'be', 'a', 'brilliant', 'plan', 'be', 'a', 'great', 'plan']",0.675,0.6875,0.6666666666666666
197,23,DONALD TRUMP,"It's a plan that's going to bring up our worth, our value as a country",economy,"['be', 'a', 'plan', 'is', 'go', 'bring', 'up', 'worth', 'value', 'a', 'country']",0.3,0.1,1.0
198,23,DONALD TRUMP,"It's going to make people want to be able to go and work and create jobs and create a lot of good, solid money for our -- for our country",economy,"['be', 'go', 'make', 'person', 'want', 'be', 'able', 'go', 'work', 'create', 'job', 'create', 'a', 'lot', 'good', 'solid', 'money', 'country']",0.39999999999999997,0.4416666666666667,1.0
199,23,DONALD TRUMP,"And just to finish off, she doesn't have a plan",economy,"['just', 'finish', 'off', 'do', 'not', 'have', 'a', 'plan']",0.0,0.0,1.0
200,23,DONALD TRUMP,She copied Biden's plan,economy,"['copy', 'widen', 'is', 'plan']",0.0,0.0,1.0
201,23,DONALD TRUMP,"And it's like four sentences, like run-Spot-run",economy,"['be', 'four', 'sentence', 'like', 'run-spot-run']",0.0,0.0,0.75
202,23,DONALD TRUMP,"Four sentences that are just oh, we'll try and lower taxes",economy,"['four', 'sentence', 'that', 'be', 'just', 'oh', 'will', 'try', 'lower', 'take']",0.0,0.0,0.75
203,23,DONALD TRUMP,She doesn't have a plan,economy,"['do', 'not', 'have', 'a', 'plan']",0.0,0.0,1.0
204,23,DONALD TRUMP,Take a look at her plan,economy,"['take', 'a', 'look', 'plan']",0.0,0.0,1.0
205,23,DONALD TRUMP,She doesn't have a plan.,economy,"['do', 'not', 'have', 'a', 'plan']",0.0,0.0,1.0
206,25,DONALD TRUMP,"I charge, I was the only president ever China was paying us hundreds of billions of dollars and so were other countries and you know if she doesn't like 'em they should have gone out and they should have immediately cut the tariffs but those tariffs are there three and a half years now under their administration",economy,"['charge', 'be', 'the', 'only', 'president', 'ever', 'be', 'pay', 'hundred', 'billion', 'dollar', 'so', 'be', 'other', 'country', 'know', 'do', 'not', 'like', 'should', 'have', 'go', 'out', 'should', 'have', 'immediately', 'cut', 'the', 'tariff', 'those', 'tariff', 'be', 'there', 'three', 'a', 'half', 'year', 'now', 'administration']",-0.09722222222222221,0.513888888888889,0.38636363636363635
